# delta neff CL
0.351 -2.36533 8.29756e-16
0.351 -2.36267 2.27837e-16
0.351 -2.36 2.09995e-09
0.351 -2.35733 5.07451e-08
0.351 -2.35467 1.67701e-06
0.351 -2.352 2.2145e-05
0.351 -2.34933 5.18555e-05
0.351 -2.34667 0.000478526
0.351 -2.344 0.00298144
0.351 -2.34133 0.0175587
0.351 -2.33867 0.0455218
0.351 -2.336 0.136207
0.351 -2.33333 0.135373
0.351 -2.33067 0.137228
0.351 -2.328 0.111677
0.351 -2.32533 0.0769931
0.351 -2.32267 0.0330748
0.351 -2.32 0.00432108
0.351 -2.31733 0.00171919
0.351 -2.31467 0.000399958
0.351 -2.312 9.22508e-05
0.351 -2.30933 5.66474e-06
0.351 -2.30667 1.12301e-06
0.351 -2.304 1.05617e-07
0.351 -2.30133 1.52696e-08
0.357 -2.37867 0
0.357 -2.376 0
0.357 -2.37333 0
0.357 -2.37067 0
0.357 -2.368 0
0.357 -2.36533 0
0.357 -2.36267 3.89519e-14
0.357 -2.36 2.29e-10
0.357 -2.35733 5.67639e-09
0.357 -2.35467 9.50655e-08
0.357 -2.352 8.98369e-06
0.357 -2.34933 6.56285e-05
0.357 -2.34667 0.000321922
0.357 -2.344 0.000957438
0.357 -2.34133 0.00468682
0.357 -2.33867 0.0358192
0.357 -2.336 0.0637437
0.357 -2.33333 0.0757759
0.357 -2.33067 0.058905
0.357 -2.328 0.0930494
0.357 -2.32533 0.0559613
0.357 -2.32267 0.0263882
0.357 -2.32 0.00926752
0.357 -2.31733 0.00255565
0.357 -2.31467 0.00048155
0.357 -2.312 0.00012261
0.357 -2.30933 1.34666e-05
0.357 -2.30667 1.58306e-06
0.357 -2.304 1.49667e-07
0.357 -2.30133 1.74217e-08
0.363 -2.37867 0
0.363 -2.376 0
0.363 -2.37333 0
0.363 -2.37067 0
0.363 -2.368 0
0.363 -2.36533 0
0.363 -2.36267 0
0.363 -2.36 1.74122e-11
0.363 -2.35733 4.47968e-10
0.363 -2.35467 7.75289e-09
0.363 -2.352 1.07241e-06
0.363 -2.34933 8.14057e-06
0.363 -2.34667 3.66719e-05
0.363 -2.344 0.000240991
0.363 -2.34133 0.00144745
0.363 -2.33867 0.0122588
0.363 -2.336 0.0129333
0.363 -2.33333 0.0282903
0.363 -2.33067 0.0315048
0.363 -2.328 0.0522516
0.363 -2.32533 0.0340361
0.363 -2.32267 0.0176203
0.363 -2.32 0.00892486
0.363 -2.31733 0.00271341
0.363 -2.31467 0.00076026
0.363 -2.312 8.09847e-05
0.363 -2.30933 8.85658e-06
0.363 -2.30667 2.11174e-06
0.363 -2.304 2.00591e-07
0.363 -2.30133 3.70586e-09
0.369 -2.37867 0
0.369 -2.376 0
0.369 -2.37333 0
0.369 -2.37067 0
0.369 -2.368 0
0.369 -2.36533 0
0.369 -2.36267 0
0.369 -2.36 0
0.369 -2.35733 0
0.369 -2.35467 0
0.369 -2.352 9.13927e-08
0.369 -2.34933 6.85101e-07
0.369 -2.34667 6.80876e-06
0.369 -2.344 4.62777e-05
0.369 -2.34133 0.000215317
0.369 -2.33867 0.0019123
0.369 -2.336 0.0068902
0.369 -2.33333 0.0107908
0.369 -2.33067 0.0165051
0.369 -2.328 0.0237652
0.369 -2.32533 0.016955
0.369 -2.32267 0.00632465
0.369 -2.32 0.00748417
0.369 -2.31733 0.00227097
0.369 -2.31467 0.000782161
0.369 -2.312 3.08708e-05
0.369 -2.30933 9.878e-06
0.369 -2.30667 2.65146e-06
0.369 -2.304 2.52943e-07
0.369 -2.30133 1.65059e-08
0.375 -2.37867 0
0.375 -2.376 0
0.375 -2.37333 0
0.375 -2.37067 0
0.375 -2.368 0
0.375 -2.36533 0
0.375 -2.36267 0
0.375 -2.36 0
0.375 -2.35733 0
0.375 -2.35467 0
0.375 -2.352 0
0.375 -2.34933 9.06554e-08
0.375 -2.34667 9.32124e-07
0.375 -2.344 6.13562e-06
0.375 -2.34133 0.00015142
0.375 -2.33867 0.000687327
0.375 -2.336 0.00190666
0.375 -2.33333 0.00390792
0.375 -2.33067 0.0135136
0.375 -2.328 0.0106632
0.375 -2.32533 0.00872673
0.375 -2.32267 0.00964824
0.375 -2.32 0.00435905
0.375 -2.31733 0.00197804
0.375 -2.31467 0.000474428
0.375 -2.312 0.000174847
0.375 -2.30933 2.62485e-05
0.375 -2.30667 3.11058e-06
0.375 -2.304 2.97947e-07
0.375 -2.30133 1.94523e-08
0.381 -2.37867 0
0.381 -2.376 0
0.381 -2.37333 0
0.381 -2.37067 0
0.381 -2.368 0
0.381 -2.36533 0
0.381 -2.36267 0
0.381 -2.36 0
0.381 -2.35733 0
0.381 -2.35467 0
0.381 -2.352 0
0.381 -2.34933 0
0.381 -2.34667 1.23979e-07
0.381 -2.344 2.383e-06
0.381 -2.34133 3.88404e-05
0.381 -2.33867 0.000171188
0.381 -2.336 0.000525611
0.381 -2.33333 0.00169971
0.381 -2.33067 0.00535433
0.381 -2.328 0.00463648
0.381 -2.32533 0.00294632
0.381 -2.32267 0.00521978
0.381 -2.32 0.00324984
0.381 -2.31733 0.00134273
0.381 -2.31467 0.000366431
0.381 -2.312 0.000174777
0.381 -2.30933 9.24988e-06
0.381 -2.30667 3.37741e-06
0.381 -2.304 8.72882e-08
0.381 -2.30133 2.30396e-08
0.387 -2.37867 0
0.387 -2.376 0
0.387 -2.37333 0
0.387 -2.37067 0
0.387 -2.368 0
0.387 -2.36533 0
0.387 -2.36267 0
0.387 -2.36 0
0.387 -2.35733 0
0.387 -2.35467 0
0.387 -2.352 0
0.387 -2.34933 0
0.387 -2.34667 0
0.387 -2.344 2.2162e-07
0.387 -2.34133 7.65233e-06
0.387 -2.33867 3.50512e-05
0.387 -2.336 0.000112287
0.387 -2.33333 0.00112441
0.387 -2.33067 0.00166355
0.387 -2.328 0.00221933
0.387 -2.32533 0.0028541
0.387 -2.32267 0.00236814
0.387 -2.32 0.00164305
0.387 -2.31733 0.000821236
0.387 -2.31467 0.000555412
0.387 -2.312 7.25271e-05
0.387 -2.30933 2.73252e-05
0.387 -2.30667 3.35536e-06
0.387 -2.304 3.24835e-07
0.387 -2.30133 2.5251e-08
0.393 -2.37867 0
0.393 -2.376 0
0.393 -2.37333 0
0.393 -2.37067 0
0.393 -2.368 0
0.393 -2.36533 0
0.393 -2.36267 0
0.393 -2.36 0
0.393 -2.35733 0
0.393 -2.35467 0
0.393 -2.352 0
0.393 -2.34933 0
0.393 -2.34667 0
0.393 -2.344 0
0.393 -2.34133 4.57701e-07
0.393 -2.33867 2.8864e-06
0.393 -2.336 4.17776e-05
0.393 -2.33333 0.00025158
0.393 -2.33067 0.000394023
0.393 -2.328 0.000516312
0.393 -2.32533 0.000926867
0.393 -2.32267 0.0010636
0.393 -2.32 0.00064633
0.393 -2.31733 0.000433551
0.393 -2.31467 0.000210874
0.393 -2.312 0.000111666
0.393 -2.30933 2.23575e-05
0.393 -2.30667 8.8795e-07
0.393 -2.304 3.24104e-07
0.393 -2.30133 2.53269e-08
0.399 -2.37867 0
0.399 -2.376 0
0.399 -2.37333 0
0.399 -2.37067 0
0.399 -2.368 0
0.399 -2.36533 0
0.399 -2.36267 0
0.399 -2.36 0
0.399 -2.35733 0
0.399 -2.35467 0
0.399 -2.352 0
0.399 -2.34933 0
0.399 -2.34667 0
0.399 -2.344 0
0.399 -2.34133 0
0.399 -2.33867 0
0.399 -2.336 1.0344e-05
0.399 -2.33333 4.06302e-05
0.399 -2.33067 9.10365e-05
0.399 -2.328 0.00032754
0.399 -2.32533 0.000540914
0.399 -2.32267 0.000309284
0.399 -2.32 0.000363893
0.399 -2.31733 0.000420381
0.399 -2.31467 0.000209037
0.399 -2.312 6.90659e-05
0.399 -2.30933 1.53039e-05
0.399 -2.30667 3.0048e-06
0.399 -2.304 2.92047e-07
0.399 -2.30133 2.29454e-08
0.405 -2.37867 0
0.405 -2.376 0
0.405 -2.37333 0
0.405 -2.37067 0
0.405 -2.368 0
0.405 -2.36533 0
0.405 -2.36267 0
0.405 -2.36 0
0.405 -2.35733 0
0.405 -2.35467 0
0.405 -2.352 0
0.405 -2.34933 0
0.405 -2.34667 0
0.405 -2.344 0
0.405 -2.34133 0
0.405 -2.33867 6.18512e-07
0.405 -2.336 2.74206e-06
0.405 -2.33333 8.69467e-06
0.405 -2.33067 0
0.405 -2.328 0.000107357
0.405 -2.32533 0.000162481
